#author,papers,pagerank,hindex,affsChangeTimes,affsChangeFreq,citations,isSameAff,isAncestor,betweenness
2298046527,18,0.0005352395323387783,8,0,0.75,196,1.0,0.5384615384615384,0.0027383615622500355
2154946902,19,0.0001291059631696037,4,0,0.8571428571428572,236,0.8,0.6,0.00010604366957804358
2526421878,3,8.494686067718808e-05,1,0,0.5,4,1.0,1.0,0.0
2108126638,53,7.366043677829098e-05,17,0,0.9545454545454546,2492,0.8125,0.875,0.0005482480112531419
2107595349,9,6.394279096788134e-05,5,0,0.8571428571428572,89,1.0,0.5,0.0
389372148,2,8.56821650392772e-05,2,0,0.5,5,0.5,1.0,0.0
2407586687,18,0.00014024679621705291,4,0,0.8333333333333334,66,0.75,0.75,7.887889082381384e-05
2222650814,5,7.184495327880434e-05,2,0,0.8,13,1.0,1.0,0.0
2037649753,19,9.685005975489032e-05,7,3,3.923076923076923,429,1.0,0.5,0.00017321828335769372
2618769809,4,0.00014217911334660075,2,0,0.5,6,0.6666666666666666,0.6666666666666666,0.0
2084826970,11,0.0001416507066415661,8,0,0.9166666666666666,1184,0.6,0.8,0.00016742507720625795
2118299058,26,0.00019317001203614077,9,1,1.8571428571428572,236,0.7692307692307693,0.6923076923076923,0.0011015010882182157
2330906412,9,0.0003533645675456322,3,0,0.8,94,0.6,0.7,0.00030340137203321437
2115930374,17,6.399147152645164e-05,8,3,3.9411764705882355,501,0.7777777777777778,1.0,0.00012661806492227364
2158721682,5,7.350255366443886e-05,3,0,0.8333333333333334,21,1.0,0.5,1.026410892162348e-05
2670203738,1,0.0001009368322123941,1,0,0.0,5,1.0,1.0,0.0
1983756286,14,0.00020080177781203046,7,1,1.875,933,0.625,0.75,0.00023444006640620233
2136188764,22,0.00013525004049716281,10,5,5.9,872,0.7777777777777778,0.7777777777777778,0.003039601304710155
2583648180,7,0.00014387561276762322,3,0,0.75,23,0.0,1.0,0.0
2115085568,91,0.00016130630344074066,17,4,4.923076923076923,1411,0.6,0.88,0.002377993516468257
2235263654,10,0.0006501202586309162,3,1,1.8,39,0.6666666666666666,0.8333333333333334,1.0772809666281005e-05
2648094648,39,7.663849919947968e-05,12,2,2.909090909090909,646,0.6363636363636364,0.9090909090909091,0.0003299879129003942
2109031554,244,0.00038409889084939613,70,10,10.966666666666667,22889,0.4782608695652174,0.8840579710144928,0.012344688720116822
2396426249,2,6.718520810153969e-05,1,0,0.6666666666666667,324,1.0,0.5,0.0
2117954069,54,0.0002771433709682516,32,2,2.923076923076923,11412,0.8666666666666667,0.8,0.002582286602985608
2465953593,61,0.00014148849360278584,18,3,3.9,1539,0.5263157894736842,0.5789473684210527,0.0027269596238888353
2409308442,5,0.00010655076822165506,1,0,0.5,6,0.5,1.0,0.0
2237142500,88,0.00022287642397841718,27,2,2.967741935483871,4178,0.8461538461538461,0.8461538461538461,0.0037663810944761683
2163043385,18,0.00044939193486068387,9,4,4.909090909090909,483,0.3125,0.5,0.0006377977526321314
2600447970,23,0.0002537660895665487,9,5,5.928571428571429,624,0.25,0.6666666666666666,0.002385994754667497
2707087637,3,0.00014198842806126694,2,1,1.6666666666666667,6,0.25,0.75,1.3958646756797693e-07
2096765220,8,0.0001226177304816581,4,1,1.8333333333333333,90,1.0,1.0,0.0
2129623354,16,0.0002793867470256343,7,1,1.875,517,0.5,0.5,0.0002862725518524309
2463505497,6,9.389863830231053e-05,1,0,0.6666666666666667,6,0.3333333333333333,0.6666666666666666,0.0001073038904119767
2055927854,20,0.00011090297348903289,9,3,3.9375,1616,0.7142857142857143,0.7142857142857143,0.0006736153072808926
2585632476,1,0.00024895835060818276,1,0,0.0,1,0.75,0.75,0.0
2620691895,4,0.00015460946112587983,1,0,0.0,4,0.75,0.75,3.239886594814746e-06
2266924332,29,0.00020311136686476872,10,1,1.9090909090909092,500,0.8571428571428571,0.6785714285714286,0.0018271755070585756
2110072997,31,9.356131446762941e-05,12,2,2.9411764705882355,566,0.9,0.4,0.0011161839644537612
2711340771,2,8.925131665844799e-05,0,0,0.0,0,0.5,1.0,0.0
2061808060,6,6.25794700984985e-05,4,1,1.8333333333333333,61,0.6666666666666666,1.0,0.0
160737525,62,8.961824195929878e-05,19,3,3.9166666666666665,1289,0.7222222222222222,0.8333333333333334,0.0010504656729449714
1887389880,31,7.561411527826004e-05,17,1,1.9166666666666667,1477,0.5,0.8333333333333334,0.0013192056274525176
2716735303,2,0.00029992624091872323,2,0,0.8333333333333334,27,1.0,0.75,0.0
2626076505,2,0.00023689344616366212,1,0,0.5,4,1.0,0.6666666666666666,1.588074400265764e-06
2055532444,3,0.0005270778142574434,1,1,1.8333333333333333,17,0.6666666666666666,0.6666666666666666,4.6891709907957684e-05
2776561714,2,0.0005099200282429422,0,1,1.5,0,0.5,0.5,0.0
2132855449,37,0.00024168355024059346,12,3,3.9,666,0.75,0.75,0.0032907423795241974
2339061090,4,0.0003639164624596467,2,1,1.6666666666666667,28,0.3333333333333333,0.6666666666666666,0.0
2104129307,125,6.373065265716822e-05,27,15,15.933333333333334,4211,0.45,0.95,0.003403378196335924
2434363184,5,0.0003639164624596466,3,0,0.6666666666666667,33,0.6666666666666666,0.6666666666666666,0.0
2151570909,21,0.0002629759206587686,11,3,3.9166666666666665,875,0.6666666666666666,0.5555555555555556,0.0019198242501613446
2678970620,3,8.125148069754188e-05,1,0,0.6666666666666667,2,0.6666666666666666,0.6666666666666666,4.6891709907957684e-05
2146920245,11,7.907144373240844e-05,7,2,2.888888888888889,93,0.5,0.5,8.02375466144162e-06
2423441494,4,0.0006068717012781287,2,0,0.8,21,0.75,0.75,0.0
2112239549,4,7.040634636786663e-05,2,0,0.8333333333333334,13,1.0,0.5,4.6873226774371576e-05
233042646,38,0.00015890305046038382,15,3,3.9473684210526314,2281,0.6875,0.75,0.001399976365058379
2620408480,5,0.00021463675376475112,2,0,0.5,39,0.8333333333333334,0.5,0.0002617518572532914
2466850906,14,0.0003899327250220302,10,2,2.857142857142857,302,0.7333333333333333,0.5333333333333333,0.002282580476137035
2776866830,4,0.00010976421210409862,3,0,0.6666666666666667,69,1.0,0.5,0.0002768669944917809
2099981787,10,0.00019298029807624306,6,0,0.8333333333333334,491,0.7142857142857143,0.5714285714285714,0.00043625359503601465
2160774113,22,9.780595695906837e-05,13,2,2.909090909090909,2026,0.6,0.8,0.0031099560840824286
2528877902,2,6.148086836926574e-05,1,0,0.5,2,1.0,1.0,0.0
2301961698,40,7.176182995207804e-05,26,1,1.9333333333333333,9153,0.6842105263157895,0.9473684210526315,0.0006679934392907995
2156228494,6,0.00015248716992219766,3,0,0.8,51,1.0,0.7142857142857143,6.284653327569131e-05
2114032439,11,0.00012016590585862215,7,3,3.9375,750,0.8571428571428571,0.7142857142857143,0.00018604325510793548
2306987822,7,0.00015175689428696259,4,1,1.9,353,1.0,0.6666666666666666,4.8847270259635595e-05
2305258894,135,0.00024668841517711063,49,6,6.9375,7616,0.6041666666666666,0.8333333333333334,0.006410233038434496
2530591300,2,0.0001731412802220969,1,0,0.75,1,1.0,1.0,0.0
2565766488,3,6.095596440252539e-05,2,0,0.6666666666666667,7,1.0,1.0,0.0
2131557737,72,7.416213736576332e-05,20,2,2.9411764705882355,2734,0.875,0.875,0.0021834073412664297
2512129744,4,6.531230033858002e-05,3,1,1.8571428571428572,21,1.0,1.0,0.0
1969768610,39,9.326597730363899e-05,14,1,1.95,1798,0.8461538461538461,0.9230769230769231,0.0006329788401635571
2174306409,13,6.273471901979188e-05,6,3,3.909090909090909,258,0.6,0.8,6.29487483256745e-05
2133337488,21,0.00016697638729925104,8,3,3.9285714285714284,197,0.625,0.375,0.0016617777462089901
283540956,10,0.00010041407081824654,4,0,0.8571428571428572,54,1.0,0.6,0.00018823223244093066
2097167335,6,0.00010601339237301249,2,0,0.9,34,0.5,0.75,1.8859182290336242e-06
2528339801,1,8.011651356256467e-05,0,0,0.0,0,1.0,1.0,0.0
2149088283,11,9.898805514394134e-05,6,1,1.9,160,0.3333333333333333,1.0,5.0870613412458183e-05
2090441920,10,0.00010010347076806101,5,3,3.9285714285714284,512,0.6666666666666666,0.3333333333333333,0.00019010162215812027
2225925610,1,7.162246162738286e-05,0,0,0.0,0,1.0,1.0,0.0
2240541904,82,0.00026459712382180116,23,3,3.9411764705882355,2013,0.7027027027027027,0.7567567567567568,0.009489922423444156
2102785714,7,6.830279262585702e-05,5,0,0.8,168,0.8,0.2,0.0
2155576873,27,0.00018040917092564386,10,2,2.9,430,0.45454545454545453,0.5454545454545454,0.003898208068628909
2337603917,7,0.0002471963442658163,2,0,0.6666666666666667,34,0.75,0.75,1.60499458385284e-05
2103349674,56,0.00019843598060889016,23,2,2.9523809523809526,7253,0.6818181818181818,0.7727272727272727,0.0023665950664421113
2141729011,43,8.601858104444459e-05,20,2,2.9473684210526314,3059,0.631578947368421,0.8947368421052632,0.0015263742927547402
2749364755,1,0.00013392508055051262,1,0,0.0,1,1.0,1.0,0.0
2129013125,23,0.00017798116309277265,8,1,1.9444444444444444,350,0.9230769230769231,0.6153846153846154,0.0010333730222615153
2472951332,11,0.0002129153808710125,4,1,1.9285714285714286,302,1.0,0.4,5.6333284558582167e-05
2227253382,87,0.0001605099340563751,47,1,1.9333333333333333,10218,0.9354838709677419,0.9354838709677419,0.0008588857836675999
2574108784,15,0.00040807167683739963,6,0,0.8,114,0.7777777777777778,0.5555555555555556,0.00019491331875164951
2131562809,15,0.00029224145726829847,9,1,1.8888888888888888,726,0.7142857142857143,0.8571428571428571,9.685213242040296e-05
2127452354,11,0.00018679138098916638,5,2,2.75,120,0.6666666666666666,0.3333333333333333,0.0003259851583034111
2166790520,8,0.00024119572072487622,4,0,0.75,84,0.6,0.6,0.0005262619563643009
2596133846,3,0.00014051947957040154,2,0,0.5,16,1.0,0.8333333333333334,0.0004081056857376746
2107042746,7,0.00014716105450914227,1,0,0.75,4,0.8333333333333334,0.6666666666666666,0.00021393345547310316
2141705163,32,0.00013019142354962082,12,4,4.933333333333334,732,0.7857142857142857,0.9285714285714286,0.001154883804806416
2286237009,169,0.0007428762673262588,52,1,1.9473684210526316,11566,0.8225806451612904,0.8387096774193549,0.00884612865235456
2037585042,108,0.0002139183649134097,32,1,1.9411764705882353,10725,0.7941176470588235,0.8235294117647058,0.0018013280136791596
2420624292,44,0.0004569594997043519,9,0,0.8888888888888888,540,0.7142857142857143,0.7142857142857143,0.0018131274692517571
2566353968,3,0.00013590041546755229,1,0,0.5,3,1.0,0.6666666666666666,9.241566793054333e-09
2149913060,4,8.702160710623668e-05,2,0,0.6666666666666667,105,1.0,0.8,1.999831713335747e-06
2702051385,20,0.00026700131341466163,10,0,0.8571428571428572,1207,0.8125,0.75,0.0006687479235271769
2166284823,112,8.97715322533641e-05,55,1,1.9473684210526316,15059,0.8727272727272727,0.9636363636363636,0.005749429036758624
2154770419,14,6.870548878679438e-05,7,0,0.9285714285714286,336,0.8888888888888888,0.7777777777777778,0.0010924778737081578
2432727278,6,9.010178101709563e-05,2,1,1.6666666666666667,9,0.0,1.0,0.0
2150813751,12,7.949050849613173e-05,9,1,1.9166666666666667,544,0.75,0.75,3.6133818040789514e-05
2657676441,2,7.049211863792342e-05,1,0,0.8,21,1.0,1.0,0.0
2103291335,20,0.00019757086858988773,12,1,1.9,1368,0.8888888888888888,0.4444444444444444,0.0007510686595195127
2145988500,13,0.0004018222861096653,6,1,1.8888888888888888,1021,0.8333333333333334,0.5,0.0023426222358076685
2100145838,24,0.00010579258950598562,6,0,0.9444444444444444,467,0.9090909090909091,0.9090909090909091,0.0002995524418992212
2504543820,2,0.00020267430911937194,1,0,0.6666666666666667,2,1.0,1.0,0.0
2167451981,11,0.00020617324109744315,4,0,0.8333333333333334,37,0.6666666666666666,0.8333333333333334,4.559347865406727e-05
2080012343,8,7.190354442504685e-05,2,3,3.857142857142857,68,0.6666666666666666,1.0,5.506641358951483e-05
2122272077,33,0.00021201045661321035,9,3,3.9166666666666665,416,0.9,0.8,0.00021659613120008335
2124572662,52,0.00024403994356953776,21,1,1.9411764705882353,3092,0.8571428571428571,0.7619047619047619,0.0023636009955919873
2571870715,4,0.0002679475776823507,3,0,0.5,17,1.0,1.0,0.0
2099048678,14,0.000180738015390454,4,1,1.8,54,1.0,1.0,1.649316939184231e-05
1198110563,20,0.00043139955639295055,9,2,2.875,385,1.0,0.5,6.871764521107212e-05
2125216766,16,0.00011592316321839749,5,0,0.8571428571428572,124,0.75,0.75,6.520647801194406e-05
2042809864,3,0.00026022850401158826,1,0,0.75,3,1.0,0.3333333333333333,0.0
2167095090,8,0.0005490674124392854,5,0,0.8333333333333334,142,0.8333333333333334,0.6666666666666666,4.6873226774371576e-05
2124189993,50,8.445813663820413e-05,16,1,1.9285714285714286,1290,1.0,0.5,0.003676947310726933
2142682212,30,8.340982197791732e-05,15,3,3.9583333333333335,1064,1.0,0.9230769230769231,0.0018792194293000793
2738935859,10,0.0007657640423538165,3,0,0.5,21,1.0,0.0,0.0
213474391,4,0.0003800889750751272,2,0,0.8333333333333334,24,1.0,0.5,0.0003109760889039436
2098223845,30,0.0003325445036936206,13,2,2.933333333333333,3728,0.5625,0.75,0.0022441884168258467
2132080712,7,0.00010779970797625873,4,1,1.9,142,0.5,0.5,0.0
1464790619,37,0.0001436176532140239,14,1,1.9411764705882353,1752,0.6190476190476191,0.8095238095238095,0.0007417625269462801
2734497235,1,6.665542192360176e-05,0,0,0.0,0,1.0,1.0,0.0
2524043411,29,9.047545967661073e-05,11,4,4.954545454545454,510,1.0,1.0,0.000369842436001027
2157880984,38,0.00027245916391887876,12,2,2.909090909090909,1047,0.64,0.72,0.0077929888467705485
1988090614,37,0.00012428652474166395,19,1,1.9230769230769231,4372,0.8333333333333334,0.9444444444444444,0.0005010494135336426
308983332,7,0.00021959623562166353,5,0,0.9285714285714286,815,1.0,0.25,0.0
2122437719,26,8.688046187743446e-05,8,2,2.875,216,1.0,1.0,4.6873226774371576e-05
690764203,50,0.00016446152933888544,19,3,3.9583333333333335,2741,0.9285714285714286,0.7142857142857143,0.0017662892229776022
2485637647,3,7.203038381662108e-05,2,0,0.75,14,1.0,1.0,0.0
288626473,25,0.00020999490242617501,14,1,1.9523809523809523,1720,0.9375,0.75,0.0007705941961110951
2121593309,25,0.00025025620935132466,8,1,1.9375,329,0.7272727272727273,0.45454545454545453,0.001157787996216655
2223173307,5,0.0001502403523961329,3,0,0.75,55,0.4,0.8,4.062910084326457e-05
2296774633,6,0.0001916230939964278,2,0,0.6666666666666667,12,1.0,0.5,0.0
2501979622,29,0.0004907294656856851,10,0,0.9230769230769231,379,0.9333333333333333,0.6666666666666666,0.0033246328194927984
2145481163,8,6.794394077124558e-05,2,0,0.9090909090909091,34,1.0,0.5,4.6873226774371576e-05
2110456592,19,6.975938161902312e-05,7,2,2.9166666666666665,144,1.0,1.0,1.67324432141621e-05
2109156597,6,9.731445790458234e-05,3,0,0.8571428571428572,32,1.0,0.25,2.0202992458272866e-05
1991975478,9,0.00018942070676710067,2,1,1.8,26,0.4444444444444444,0.7777777777777778,0.00020477112829632866
2245267964,121,0.00038635955966459913,30,5,5.916666666666667,3907,0.7142857142857143,0.7142857142857143,0.004134093023258968
2430169722,58,0.00014472419124032638,24,8,8.88888888888889,2676,0.44,0.84,0.004853193680569275
2141500565,71,9.951041746705111e-05,34,7,7.9375,8273,0.7142857142857143,0.8571428571428571,0.0026548961732401396
2142054897,12,0.0006246391558782087,5,1,1.8571428571428572,196,0.42857142857142855,0.8571428571428571,0.001976621685716027
2250462127,30,0.00025691865057653575,16,3,3.9473684210526314,3350,0.7894736842105263,0.6842105263157895,0.003563112913877832
1896392369,16,0.00014849706053247973,12,0,0.9444444444444444,972,0.8333333333333334,0.75,0.0010036117172488963
